,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
105,8/9/2021,"11333 S Hale Ave, Chicago, IL",3,10.8,13.0,11.7,10.2,8.72,8.24,7.46,6.41,4.97,5.38,3.7,-87.67138983906094,41.68735328097444
107,6/10/2021,"11385 S Loomis St, Chicago, IL",2,21.9,35.5,40.8,42.1,41.3,37.7,33.6,32.1,27.4,22.6,14.4,-87.65668940062207,41.686609422394305
109,6/23/2021,"11365 S St Lawrence Ave, Chicago, IL",2,10.0,10.0,12.0,17.0,22.0,25.0,24.0,24.0,23.0,22.0,23.0,-87.60820303811019,41.68782050865956
111,6/25/2021,"11366 S St Lawrence Ave, Chicago, IL",2,69.3,24.3,10.5,6.8,6.26,8.94,8.97,8.43,7.74,7.26,5.34,-87.60842059724203,41.68770074816903
114,2/18/2020,"11397 S Trumbull Ave, Chicago, IL",2,8.81,7.0,7.36,7.25,6.87,6.76,7.54,12.7,20.1,19.0,18.0,-87.70665315644477,41.687307816522384
115,6/7/2021,"11425 S Ada St, Chicago, IL",2,5.19,5.74,5.47,5.62,5.96,6.0,6.77,6.91,6.74,5.98,2.11,-87.6553012509766,41.685943249999994
117,1/27/2020,"11480 S Forrestville Ave, Chicago, IL",2,19.5,2.23,1.98,1.9,1.75,1.55,1.52,1.36,1.33,1.33,0.91,-87.60936506661493,41.685643563898815
118,6/8/2021,"11495 S Indiana Ave, Chicago, IL",1,23.5,50.9,70.3,24.6,22.2,22.0,17.5,14.6,12.3,14.2,11.0,-87.6181687887978,41.68550480652992
122,9/28/2020,"11544 S Sangamon St, Chicago, IL",2,7.06,2.76,4.68,4.74,6.89,20.0,21.0,20.8,19.2,19.3,3.11,-87.64636685324862,41.68352338911662
123,9/19/2019,"11518 S Artesian Ave, Chicago, IL",2,7.83,4.22,4.23,4.01,4.04,4.02,3.72,3.66,3.84,3.54,2.89,-87.68245232727655,41.683870850000005
124,8/27/2019,"11597 S Avenue H, Chicago, IL",3,4.23,2.72,2.42,2.44,2.48,2.62,2.51,2.45,2.56,2.63,2.38,-87.5327394243563,41.68472503889979
125,6/9/2021,"11530 S Elizabeth St, Chicago, IL",2,5.21,5.77,7.62,7.24,7.66,9.98,20.1,18.0,16.7,16.7,17.5,-87.65338150636715,41.68400295
127,10/15/2021,"11597 S Justine St, Chicago, IL",2,3.6,3.73,4.56,5.06,6.64,7.98,12.5,13.0,13.6,14.4,4.03,-87.66023056997012,41.68316679880529
128,9/29/2021,"11527 S May St, Chicago, IL",1,8.62,11.8,12.4,13.5,12.9,14.1,16.6,17.4,16.8,16.4,13.2,-87.6503590266369,41.684128400000006
130,5/24/2021,"11683 S Avenue L, Chicago, IL",3,4.41,5.28,6.78,5.93,6.41,8.2,11.0,11.2,14.5,13.1,10.6,-87.53634617138358,41.683121335419095
132,10/4/2019,"11694 S May St, Chicago, IL",1,4.69,7.52,6.1,4.84,5.04,5.69,5.92,9.82,10.4,9.44,8.53,-87.65065987944328,41.68151816956339
133,10/16/2019,"11634 S May St, Chicago, IL",2,5.02,4.14,4.1,6.13,6.46,7.22,8.75,11.8,12.4,12.3,12.6,-87.65085126002025,41.68210945
134,10/29/2016,"11789 S Justine St, Chicago, IL",1,5.42,5.76,7.38,5.8,8.51,7.91,8.99,12.3,11.0,10.4,12.4,-87.66012466538146,41.67966462241873
137,11/30/2021,"11758 S Peoria St, Chicago, IL",5,8.65,7.88,8.7,10.5,16.0,15.2,14.7,14.5,13.2,13.0,12.4,-87.64454425406048,41.6803590398345
138,12/12/2019,"11870 S Campbell Ave, Chicago, IL",1,16.5,8.88,9.77,8.62,8.91,11.2,11.4,9.81,7.8,7.08,7.02,-87.68329059385266,41.67819057535349
