"","Date.Sampled","Address","RD_X1X2","RD_X2X3","RD_X3X4","RD_X4X5","RD_X5X6","RD_X6X7","RD_X7X8","RD_X8X9","RD_X9X10","HCluster"
"1679","6/2/2021","89XX S Dorchester Ave",0.944444444444444,-0.149206349206349,-0.139925373134328,0.0433839479392623,-0.0207900207900207,0.585987261146497,0.954484605087015,0.116438356164384,-0.0184049079754602,3
"1680","8/24/2019","89XX S Eggleston ",0.236270753512133,0.776859504132231,0.0872093023255814,-0.0320855614973261,-0.0883977900552487,-0.151515151515152,-0.0285714285714286,0.0367647058823529,0.0921985815602837,2
"1681","7/15/2019","89XX S Halsted ",0.0263157894736842,0.076923076923077,0.148809523809524,-0.22279792746114,-0.146666666666667,0.390625,0.573033707865168,0.221428571428572,0.152046783625731,5
"1682","12/10/2019","89XX S Jeffery Blvd",0.077757685352622,0.174496644295302,0.0285714285714286,0.0138888888888888,-0.0506849315068493,-0.210678210678211,0.124314442413163,1.29268292682927,0.177304964539007,5
"1683","6/7/2021","89XX S Mackinaw Ave",0.0184426229508196,0.494969818913481,0.183041722745626,0.0329920364050058,0.552863436123348,0.134751773049645,-0.075,-0.0202702702702703,-0.0965517241379311,4
"1684","10/14/2016","89XX S Oakley Ave",-0.00571428571428572,-0.0574712643678161,0.408536585365854,1.31601731601732,0,-0.101869158878505,0.00728407908428723,0.0289256198347109,-0.0321285140562249,1
"1685","2/17/2022","89XX S Paulina St",-0.419354838709677,0,-0.0555555555555556,0.176470588235294,-0.15,-0.117647058823529,0,-0.2,-0.166666666666667,2
"1686","12/17/2021","8XX E  48Th St",0.933333333333333,-0.0689655172413793,0.481481481481481,0.35,-0.166666666666667,0.177777777777778,-0.150943396226415,0.111111111111111,-0.34,1
"1687","5/20/2021","8XX E 89Th St",-0.0430107526881721,-0.207865168539326,0,0.312056737588652,0.432432432432432,-0.233962264150943,0.497536945812808,0.0592105263157896,-0.46583850931677,2
"1688","6/30/2017","8XX N Campbell Ave",0.163157894736842,0.0746606334841629,0.435789473684211,0.259530791788856,0.129220023282887,0.422680412371134,0.0942028985507246,0.19205298013245,-0.138888888888889,1
"1689","12/3/2019","8XX N Lockwood Ave",0.0580551523947751,0.0631001371742112,0.0361290322580644,0.112079701120797,0.332586786114222,0.369747899159664,0.0122699386503067,-0.0969696969696969,-0.174496644295302,3
"1690","10/15/2021","8XX S Ada St",0.385135135135135,-0.232520325203252,-0.0508474576271185,-0.0345982142857143,0.046242774566474,0.546961325966851,0.407142857142857,0.203045685279188,0.135021097046413,3
"1691","12/7/2018","8XX W 19Th St",-0.846985815602837,-0.192352259559676,-0.0989956958393113,-0.0796178343949045,-0.136678200692042,-0.0941883767535071,0.0619469026548673,0.0291666666666668,-0.0182186234817815,2
"1692","6/10/2021","8XX W Castlewood Tr",1.58602150537634,-0.331600831600832,-0.164852255054432,-0.0279329608938548,-0.206896551724138,0.0386473429951691,-0.0720930232558139,0.0100250626566416,-0.0173697270471465,2
"1693","5/29/2018","8XX W Lill Ave",-0.539855072463768,-0.606299212598425,0,0,0,0,0,0,0,2
"1694","7/10/2017","8XX W Lill Ave",-0.0392156862745098,0.556122448979592,0.632786885245902,0.228915662650602,0.0784313725490195,0.143939393939394,-0.0185430463576159,0.0742240215924426,-0.0100502512562814,1
"1695","7/31/2018","8XX W Lill Ave",0.129221732745962,-0.104031209362809,0.480406386066763,0.235294117647059,-0.0714285714285715,-0.153846153846154,-0.114141414141414,-0.0581527936145952,-0.290556900726392,2
"1696","11/2/2016","8XX W Lill Ave****",0.110356536502547,0.0122324159021407,0.0845921450151057,0.167130919220056,0.15035799522673,0.130705394190871,-0.0458715596330275,0.173076923076923,0.131147540983607,5
"1697","3/7/2017","8XX W Lill Ave****",-0.053921568627451,0.0103626943005181,0.0551282051282052,0.057108140947752,0.00459770114942539,-0.0137299771167049,0.0580046403712297,0.0910087719298246,-0.0341708542713568,2
"1698","9/15/2017","8XX W Lill Ave****",0.0385802469135802,0.295690936106984,0.387614678899082,0.115702479338843,0.037037037037037,0.107142857142857,0.0774193548387096,-0.0179640718562875,0.0304878048780488,1
"1699","1/2/2019","8XX W Lill Ave****",-0.0931603773584906,-0.102730819245774,0.072463768115942,0.147297297297297,0.110718492343934,0.155885471898197,-0.124770642201835,-0.0377358490566037,0.111111111111111,5
"1700","11/18/2021","8XX W Willow St",0.254237288135593,0.756756756756757,0.0769230769230769,-0.0714285714285714,0.0769230769230769,0.0714285714285714,0,0,0,2
"1701","8/18/2021","90XX S Carpenter St",0.0844155844155843,0.586826347305389,-0.109433962264151,0.0677966101694914,0.134920634920635,0.0769230769230769,0.0519480519480519,0.00925925925925939,0.00305810397553499,2
"1702","9/16/2019","90XX S Chappel Ave",0.178807947019868,0.252808988764045,0.154708520179372,0.0194174757281553,0.331428571428571,0.207439198855508,0.599526066350711,0,-0.0666666666666667,3
"1703","7/12/2019","90XX S Clyde ",-0.141732283464567,0.302752293577982,0.28169014084507,0.21978021978022,0.0675675675675676,-0.0168776371308016,0.0343347639484979,-0.033195020746888,-0.0300429184549356,1
"1704","8/12/2021","90XX S Cregier Ave",0.338461538461538,-0.425287356321839,0.22,-0.360655737704918,0.461538461538462,-0.0175438596491229,0.0357142857142857,0.413793103448276,0.0853658536585367,4
"1705","6/13/2016","90XX S Dr Martin Luther King Jr Dr",0.37518910741301,-0.0341034103410342,-0.042141230068337,-0.00594530321046382,-0.229665071770335,1.17391304347826,-0.515714285714286,-0.480825958702065,0.375,3
"1706","11/12/2016","90XX S EsseX Ave",0.273305084745763,-0.459234608985025,0.313846153846154,1.66978922716628,0.605263157894737,0.0382513661202185,-0.0578947368421053,0.0279329608938548,0.0869565217391305,1
"1707","8/7/2019","90XX S Harper ",0.00682593856655291,0.423728813559322,-0.0571428571428572,-0.146464646464646,-0.0769230769230769,0.0224358974358974,0.00313479623824459,0.575,0.658730158730159,5
"1708","11/30/2021","90XX S Kingston Ave",0.607142857142857,0.222222222222222,0,0,0,0.454545454545455,1.125,-0.147058823529412,-0.206896551724138,3
"1709","8/16/2021","90XX S PaXton Ave",-0.2,-0.166666666666667,0.3,0.0769230769230769,-0.0714285714285714,-0.0769230769230769,0.0833333333333333,0,-0.0769230769230769,1
